years_to_retire,salary,investment_amount_per_month,current_savings,monthly_expenses,debt,number_of_dependents,city,goal_savings
10,146800,22400.0,84075,87000.0,129456,5,Jaipur,2638000.0
14,137900,19600.0,707556,79800.0,253359,5,Delhi,3836000.0
31,24900,4700.0,934092,12800.0,233276,2,Pune,2595000.0
15,44000,8400.0,651995,26600.0,127232,0,Ahmedabad,2089000.0
8,158500,19900.0,1792176,108400.0,54455,0,Ahmedabad,3607000.0
14,153400,23800.0,1323782,96500.0,3713,1,Ahmedabad,5123000.0
23,71100,9400.0,422482,40700.0,485490,0,Hyderabad,2888000.0
21,169900,47600.0,1327306,109300.0,13382,4,Delhi,12724000.0
16,61100,7000.0,153010,37900.0,137843,4,Ahmedabad,1430000.0
18,191100,52700.0,237282,110400.0,109606,4,Bangalore,11053000.0
24,106500,21900.0,661456,58100.0,409204,3,Lucknow,6654000.0
26,157100,36600.0,1977264,90100.0,360277,3,Mumbai,12827000.0
25,49400,14100.0,1970487,30600.0,284746,3,Mumbai,5990000.0
29,89300,15500.0,1759021,55800.0,278352,3,Bangalore,6884000.0
15,26800,6400.0,842064,15800.0,42943,0,Hyderabad,1937000.0
1,52100,12200.0,290643,31100.0,144022,1,Jaipur,430000.0
25,140600,41900.0,644686,98300.0,489146,0,Delhi,12588000.0
7,57600,6300.0,1577019,37300.0,454748,1,Ahmedabad,2080000.0
9,124600,23800.0,1692499,71300.0,76908,4,Bangalore,4135000.0
24,97800,29100.0,1615002,59900.0,495098,1,Jaipur,9578000.0
1,42000,7000.0,810570,28700.0,291553,3,Pune,890000.0
8,126500,37100.0,222138,73200.0,409785,2,Ahmedabad,3606000.0
24,195400,51500.0,1710815,121800.0,346169,3,Delhi,15803000.0
11,135700,22800.0,544672,70800.0,7860,5,Hyderabad,3404000.0
17,128000,13500.0,700079,81300.0,165694,2,Jaipur,3317000.0
8,116100,18100.0,1028900,69900.0,74399,1,Jaipur,2680000.0
35,75000,9400.0,343800,46900.0,77047,0,Hyderabad,4095000.0
35,120200,22300.0,1932599,61400.0,431441,3,Bangalore,10832000.0
33,17800,5100.0,66128,9200.0,270058,4,Mumbai,1985000.0
5,75700,15300.0,790927,44700.0,359768,1,Mumbai,1663000.0
28,174400,33000.0,1544163,95400.0,364397,1,Pune,12079000.0
7,90400,12900.0,994406,57200.0,404704,4,Lucknow,2024000.0
9,182000,40800.0,317207,98500.0,217710,5,Kolkata,4504000.0
8,127000,24300.0,1652317,68200.0,364742,4,Chennai,3869000.0
12,116100,29600.0,1751166,74600.0,205396,0,Kolkata,5801000.0
34,37900,7700.0,1423640,19600.0,305794,1,Bangalore,4409000.0
33,23600,6500.0,1318169,12600.0,394087,2,Ahmedabad,3764000.0
23,78500,20100.0,1910721,41100.0,121582,5,Hyderabad,7182000.0
24,73600,9500.0,1527671,42300.0,455257,1,Delhi,4127000.0
35,88100,11200.0,1338136,45700.0,136947,5,Chennai,5808000.0
22,102200,10700.0,799485,63800.0,460683,4,Jaipur,3483000.0
27,94500,16400.0,1450739,64900.0,376739,0,Lucknow,6499000.0
35,55000,6100.0,1083940,30700.0,398087,5,Chennai,3518000.0
1,124800,23700.0,674808,63300.0,33848,4,Chennai,945000.0
35,82100,12200.0,129802,51600.0,403133,4,Mumbai,4998000.0
14,182700,36500.0,555615,103500.0,50384,4,Jaipur,6382000.0
3,65200,8600.0,1915686,39500.0,92715,0,Ahmedabad,2210000.0
1,64800,13600.0,1433294,33500.0,337736,3,Pune,1588000.0
5,178100,52200.0,1428594,102400.0,370819,4,Mumbai,4404000.0
26,199900,45500.0,1329900,134300.0,283757,3,Mumbai,14818000.0
14,44900,9600.0,550818,25100.0,161231,0,Lucknow,2083000.0
27,175500,45200.0,1206318,110800.0,205715,1,Jaipur,15121000.0
9,100300,10100.0,746222,65000.0,468229,4,Jaipur,1783000.0
15,147000,23000.0,532448,81900.0,336612,4,Hyderabad,4466000.0
15,145900,43400.0,516073,95100.0,212628,5,Ahmedabad,7939000.0
26,135800,34800.0,933316,82200.0,30951,1,Kolkata,11250000.0
13,190000,22400.0,671456,107700.0,285340,2,Kolkata,3992000.0
32,101000,16700.0,1185547,55000.0,280696,5,Hyderabad,7279000.0
32,186100,35000.0,539164,102800.0,300990,5,Kolkata,13309000.0
4,109300,31400.0,827233,60800.0,24305,4,Kolkata,2259000.0
30,59600,12900.0,752329,34200.0,289281,0,Jaipur,5165000.0
23,198700,22900.0,1013508,131700.0,145249,5,Hyderabad,7019000.0
15,182300,36800.0,624651,117700.0,495767,4,Bangalore,6918000.0
29,115800,18300.0,1403133,78300.0,52179,0,Bangalore,7454000.0
13,21600,3600.0,107781,11500.0,439120,1,Delhi,641000.0
32,193100,23700.0,1908404,120400.0,420048,2,Hyderabad,10555000.0
7,21400,4100.0,486444,12100.0,360700,4,Chennai,814000.0
22,32200,7500.0,292907,21800.0,329987,3,Pune,2174000.0
28,172700,43500.0,439950,97400.0,147749,3,Lucknow,14327000.0
2,141400,33800.0,606697,93400.0,338268,0,Bangalore,1377000.0
6,65100,15100.0,1411698,45100.0,284826,1,Bangalore,2445000.0
28,16500,4500.0,1862151,11200.0,168338,5,Chennai,3299000.0
28,71100,11800.0,502087,48700.0,193492,1,Kolkata,4269000.0
20,186300,26600.0,685353,117400.0,365345,1,Delhi,6751000.0
30,23900,2800.0,199474,13900.0,472588,4,Delhi,1157000.0
11,114700,15300.0,401906,65200.0,310968,2,Hyderabad,2321000.0
28,72700,9400.0,1235244,38400.0,347012,2,Lucknow,4236000.0
25,20800,5900.0,1119188,11100.0,2609,1,Chennai,2801000.0
33,171300,23300.0,562348,90700.0,358597,1,Lucknow,9329000.0
1,87000,10300.0,860802,49200.0,132383,5,Ahmedabad,978000.0
27,89800,16200.0,585967,54700.0,477916,1,Ahmedabad,5573000.0
13,15600,2100.0,1471778,10300.0,430825,2,Jaipur,1783000.0
3,66300,8400.0,1872324,36600.0,280650,2,Delhi,2160000.0
6,20700,3600.0,1330094,11500.0,48438,2,Lucknow,1576000.0
8,64400,18300.0,90575,37700.0,335520,3,Jaipur,1760000.0
27,33400,3500.0,1228392,16800.0,195098,2,Hyderabad,2306000.0
9,112600,15900.0,365977,59900.0,95238,4,Chennai,1998000.0
33,125400,33200.0,1621556,81000.0,462394,1,Kolkata,14113000.0
24,151400,22600.0,361636,85800.0,208598,4,Jaipur,6546000.0
15,96700,18200.0,1993672,51200.0,234171,1,Lucknow,5106000.0
32,152600,18300.0,1390871,102400.0,320856,0,Kolkata,8068000.0
32,140600,36400.0,203127,89100.0,31494,2,Jaipur,13484000.0
24,93700,23200.0,653589,52000.0,336760,3,Kolkata,7002000.0
12,194500,24400.0,289558,133100.0,286939,3,Chennai,3628000.0
2,113600,32900.0,1841517,78400.0,162428,1,Mumbai,2592000.0
3,46800,10200.0,1969026,25400.0,382823,5,Bangalore,2318000.0
17,43700,11300.0,1770427,29400.0,446352,0,Jaipur,3961000.0
2,129700,32800.0,876519,71600.0,290284,5,Bangalore,1624000.0
2,67700,13800.0,1516375,43100.0,452513,2,Bangalore,1831000.0
28,35900,9000.0,1982807,19900.0,409173,3,Pune,4856000.0
23,37600,5500.0,1145355,25100.0,3263,5,Delhi,2588000.0
32,178500,18600.0,522478,97100.0,196275,5,Bangalore,7309000.0
33,24400,4100.0,1391740,12300.0,322313,0,Chennai,2934000.0
1,30000,3900.0,439232,16000.0,394177,3,Delhi,484000.0
19,153100,45400.0,525198,90600.0,206411,5,Bangalore,10360000.0
2,66200,18800.0,458936,35400.0,480197,3,Lucknow,888000.0
26,74200,9600.0,153491,43300.0,47249,5,Delhi,2999000.0
32,70400,11900.0,588860,38200.0,122301,5,Bangalore,4931000.0
6,39900,8100.0,1923537,22500.0,385667,4,Bangalore,2478000.0
32,163600,29400.0,787128,113000.0,258089,3,Pune,11514000.0
4,158300,38000.0,1357604,81800.0,82405,1,Bangalore,3091000.0
11,26800,5400.0,1838926,16000.0,281046,4,Delhi,2516000.0
17,77400,16500.0,563318,52100.0,284328,0,Hyderabad,3761000.0
24,48900,11500.0,1540271,28200.0,26129,5,Mumbai,4687000.0
5,183100,19200.0,1527688,127500.0,126753,5,Hyderabad,2622000.0
34,39300,4000.0,1087380,21100.0,481485,3,Chennai,2638000.0
6,53300,7200.0,222096,27100.0,140468,0,Pune,715000.0
22,55900,13600.0,688366,28400.0,235538,3,Kolkata,4100000.0
11,20800,3100.0,1946622,13000.0,394675,2,Jaipur,2335000.0
16,56300,16000.0,521385,32400.0,238079,2,Mumbai,3440000.0
33,148600,17200.0,1008937,93300.0,415615,2,Hyderabad,7481000.0
9,102700,22200.0,808358,70500.0,16873,1,Jaipur,3086000.0
6,180000,18900.0,883762,115200.0,77739,3,Mumbai,2177000.0
16,128000,37700.0,1869090,84700.0,304452,3,Mumbai,8747000.0
29,61300,8700.0,367548,33700.0,321934,2,Delhi,3244000.0
3,109100,23700.0,1055506,60800.0,393448,0,Chennai,1866000.0
20,187700,54500.0,569236,111100.0,211671,1,Kolkata,12997000.0
19,95200,10100.0,143916,48100.0,47053,5,Chennai,2332000.0
26,32200,6500.0,1860618,19100.0,475624,4,Delhi,3788000.0
3,139500,28600.0,1580456,90500.0,259297,5,Chennai,2559000.0
19,30900,5300.0,730411,17800.0,437348,2,Mumbai,1879000.0
20,178300,41200.0,216556,112100.0,43880,1,Pune,9612000.0
32,185000,38600.0,1041658,101500.0,247453,5,Kolkata,15125000.0
7,25200,3800.0,1968050,15300.0,144833,2,Ahmedabad,2271000.0
33,113000,27200.0,1377216,68300.0,436682,3,Pune,11611000.0
18,191600,37000.0,1087448,113800.0,478262,3,Jaipur,8681000.0
1,74000,14400.0,1211993,46800.0,305739,3,Jaipur,1376000.0
11,54900,15900.0,1759497,37100.0,301409,3,Hyderabad,3754000.0
28,23800,4900.0,1772831,16000.0,97849,3,Kolkata,3337000.0
25,43300,11100.0,58158,22000.0,199033,5,Pune,3222000.0
23,75700,20700.0,303006,38700.0,6150,3,Mumbai,5731000.0
31,57000,12300.0,1501474,29800.0,311682,0,Mumbai,5849000.0
30,143200,36800.0,652986,97400.0,100209,2,Kolkata,13240000.0
35,189400,30700.0,269117,97400.0,60803,5,Pune,12520000.0
7,172300,23500.0,944483,106400.0,395859,0,Mumbai,2820000.0
16,84800,20300.0,372415,53200.0,142065,5,Jaipur,4076000.0
26,101400,28900.0,1785349,62800.0,193525,5,Bangalore,10353000.0
2,73300,8000.0,807990,47400.0,74596,2,Jaipur,990000.0
1,33700,8500.0,83653,19200.0,36589,3,Jaipur,181000.0
12,126600,13400.0,964299,81500.0,88558,3,Mumbai,2798000.0
5,172200,33000.0,1550112,109200.0,441424,5,Ahmedabad,3431000.0
32,82900,19500.0,817586,44100.0,137847,3,Pune,7932000.0
9,39100,7100.0,545338,23400.0,3745,1,Lucknow,1274000.0
35,129600,20800.0,305412,86000.0,6645,3,Delhi,8606000.0
19,159000,21800.0,826548,95000.0,146010,3,Lucknow,5549000.0
16,146400,43300.0,1798793,88000.0,373888,4,Hyderabad,9698000.0
3,29200,6300.0,1771252,20300.0,206170,1,Ahmedabad,1987000.0
20,58000,7300.0,876653,31800.0,391596,1,Kolkata,2541000.0
24,192400,21100.0,1384609,123600.0,258799,5,Kolkata,7158000.0
33,187700,27900.0,353900,117800.0,445024,3,Delhi,10851000.0
24,37700,7800.0,1124409,26100.0,484338,1,Mumbai,3259000.0
11,143300,35900.0,59560,87900.0,61400,0,Jaipur,4562000.0
8,185400,54900.0,1446936,96700.0,307679,5,Ahmedabad,6455000.0
20,178900,47700.0,901131,124500.0,100844,3,Lucknow,11778000.0
35,21200,4700.0,747123,11600.0,444261,0,Delhi,2623000.0
25,64900,15100.0,938034,36200.0,89845,4,Ahmedabad,5242000.0
35,154400,31600.0,1801200,89400.0,49328,3,Pune,14411000.0
25,132000,24700.0,729747,86600.0,206561,3,Jaipur,7770000.0
29,161800,41600.0,1141377,81100.0,177415,0,Delhi,14896000.0
18,145400,19700.0,65896,97200.0,411870,5,Jaipur,4109000.0
18,132300,22100.0,1792502,91600.0,384222,4,Ahmedabad,6328000.0
2,85400,25300.0,1266008,55400.0,284571,5,Pune,1843000.0
35,64400,13800.0,1515718,32400.0,303800,5,Delhi,7023000.0
16,181100,36200.0,561729,125200.0,309673,2,Delhi,7166000.0
33,161100,43500.0,1835217,80800.0,481066,4,Ahmedabad,18202000.0
4,117700,29700.0,1802103,74800.0,314584,0,Pune,3157000.0
33,132300,21900.0,1369320,66200.0,438105,0,Ahmedabad,9609000.0
14,114600,25800.0,487925,64300.0,494682,2,Delhi,4606000.0
21,159900,21900.0,1708834,103900.0,162841,4,Chennai,6952000.0
20,162900,18000.0,1091518,112100.0,403318,4,Chennai,5196000.0
8,187800,56000.0,1463016,94900.0,493460,5,Delhi,6571000.0
7,163400,40400.0,1062454,108700.0,74549,0,Ahmedabad,4287000.0
3,42000,12000.0,1108352,25000.0,100111,0,Ahmedabad,1519000.0
17,73500,19600.0,859150,45300.0,237852,1,Ahmedabad,4658000.0
33,170700,31700.0,258362,99300.0,45286,5,Pune,12186000.0
12,17500,4800.0,1525128,9900.0,409014,0,Delhi,2182000.0
22,161200,41500.0,1937681,86500.0,442649,0,Delhi,12347000.0
22,101800,15400.0,1345860,58300.0,432359,4,Kolkata,5209000.0
30,54200,12200.0,838982,36700.0,69726,3,Bangalore,5012000.0
8,191100,30800.0,637849,98900.0,234216,0,Ahmedabad,3447000.0
27,158500,23300.0,1612730,109800.0,25232,5,Hyderabad,8786000.0
27,81100,9400.0,485842,42900.0,249003,3,Chennai,3380000.0
34,139500,29100.0,651498,71100.0,397977,1,Bangalore,11932000.0
21,184400,32900.0,1509432,112300.0,72170,2,Delhi,9387000.0
30,154900,18200.0,479853,108400.0,348447,2,Bangalore,6705000.0
33,200000,48700.0,1430066,131800.0,197182,2,Mumbai,19754000.0
28,101900,24900.0,240079,59500.0,229550,5,Ahmedabad,8189000.0
33,184900,27200.0,982537,121900.0,221226,1,Pune,11217000.0
5,166200,48400.0,1574762,110800.0,266771,0,Mumbai,4334000.0
19,141700,36200.0,714636,77600.0,30757,0,Jaipur,8557000.0
4,17900,4700.0,1351310,9100.0,212238,4,Chennai,1566000.0
35,197500,19900.0,1307343,134600.0,366923,0,Chennai,9249000.0
17,177800,52600.0,592802,96500.0,367647,3,Hyderabad,10788000.0
28,164900,49100.0,1571977,98600.0,7585,1,Ahmedabad,17247000.0
30,117300,23600.0,235077,63900.0,463854,3,Delhi,8307000.0
29,190600,56600.0,827360,108900.0,266583,2,Delhi,19542000.0
6,50500,11200.0,1096787,31700.0,170255,0,Kolkata,1863000.0
35,184300,23400.0,1050675,112400.0,317464,2,Bangalore,10389000.0
24,91300,24000.0,221156,62700.0,367462,1,Jaipur,6789000.0
29,28600,6100.0,428681,16500.0,65882,0,Bangalore,2446000.0
31,26200,4400.0,1408090,15400.0,189297,3,Hyderabad,2963000.0
35,108500,16000.0,1681055,54400.0,57520,2,Kolkata,8066000.0
33,111100,22600.0,1404001,61900.0,370581,0,Mumbai,9907000.0
21,145200,34600.0,137312,93700.0,113036,4,Ahmedabad,8422000.0
32,41300,11400.0,1693899,26600.0,493822,0,Ahmedabad,5853000.0
23,194000,42600.0,1382109,103800.0,173141,0,Hyderabad,12553000.0
33,144900,26500.0,1717389,101000.0,131494,0,Hyderabad,11688000.0
3,175700,39800.0,1475293,103700.0,396063,3,Kolkata,2837000.0
18,165900,33100.0,888504,91600.0,94751,4,Jaipur,7682000.0
25,117400,27000.0,586097,75800.0,415284,4,Pune,8282000.0
31,71900,15900.0,563919,44600.0,454627,1,Ahmedabad,6184000.0
3,99300,29400.0,1131319,58700.0,66057,1,Ahmedabad,2137000.0
24,156600,35100.0,182210,103600.0,152732,2,Pune,9787000.0
32,47400,11300.0,858439,29600.0,326645,5,Chennai,4981000.0
22,40700,11300.0,1233809,28200.0,107559,0,Jaipur,4068000.0
23,135000,38200.0,1199922,89900.0,170893,1,Kolkata,11217000.0
2,108500,13900.0,1226079,66100.0,15507,5,Delhi,1543000.0
27,91700,17500.0,1431539,57700.0,331002,3,Lucknow,6819000.0
2,157800,45500.0,1041721,95400.0,250294,0,Delhi,2079000.0
26,115800,33800.0,1537771,68400.0,159860,5,Delhi,11558000.0
17,154700,21300.0,1891419,98000.0,288870,3,Bangalore,6020000.0
33,130500,24600.0,531257,71200.0,131324,4,Mumbai,9787000.0
9,149800,23300.0,422636,83400.0,499624,2,Delhi,2814000.0
29,48800,12600.0,1990040,26400.0,380198,1,Pune,6156000.0
26,165300,44700.0,1963426,102100.0,449072,5,Kolkata,15214000.0
35,86300,16700.0,1468803,58800.0,124652,5,Mumbai,8133000.0
25,179400,42200.0,1478867,124200.0,496909,4,Jaipur,13508000.0
24,25800,7100.0,1724313,13900.0,36695,2,Hyderabad,3667000.0
13,34600,8400.0,668738,18900.0,52777,5,Hyderabad,1914000.0
7,66200,8700.0,483864,39400.0,232741,0,Pune,1178000.0
20,69300,16800.0,1515436,42900.0,495197,2,Hyderabad,5346000.0
1,20100,2600.0,660283,12000.0,289521,0,Lucknow,690000.0
8,163200,37700.0,1362729,91300.0,140804,0,Hyderabad,4801000.0
16,39700,6600.0,220075,25500.0,13641,4,Pune,1424000.0
14,31000,3400.0,350083,16600.0,287242,4,Kolkata,893000.0
12,56000,8100.0,677479,29000.0,411860,0,Kolkata,1786000.0
23,73600,14300.0,1119300,39900.0,307017,2,Ahmedabad,4869000.0
15,96200,28700.0,835246,65300.0,490257,1,Lucknow,5744000.0
28,164000,24800.0,1532117,88700.0,402399,2,Pune,9449000.0
34,144700,42800.0,1393906,85700.0,302972,4,Ahmedabad,17986000.0
2,82200,14200.0,898748,45200.0,435334,0,Bangalore,1223000.0
32,152700,44600.0,442588,104400.0,371686,1,Lucknow,16715000.0
23,136400,39700.0,1709944,90100.0,375223,1,Bangalore,12121000.0
22,27200,3500.0,779571,15700.0,213591,5,Jaipur,1658000.0
25,113200,30100.0,763308,74900.0,345428,1,Mumbai,9343000.0
22,59000,12000.0,1681085,41000.0,187496,5,Chennai,4691000.0
22,33400,7900.0,1573357,20600.0,131930,3,Kolkata,3555000.0
6,136900,34900.0,875165,74400.0,49743,0,Pune,3263000.0
15,142200,17800.0,1053029,81000.0,298321,1,Chennai,4097000.0
33,192200,49900.0,481515,116200.0,20258,0,Delhi,19257000.0
8,24400,3900.0,336030,15100.0,361957,4,Kolkata,692000.0
5,170500,42000.0,1568887,113100.0,439437,3,Mumbai,3963000.0
4,18100,3900.0,1556938,10800.0,249225,4,Kolkata,1735000.0
6,115300,27300.0,141967,58700.0,309263,3,Hyderabad,2010000.0
32,106400,23900.0,605177,54600.0,304369,3,Mumbai,9325000.0
30,191600,50200.0,420287,130600.0,475438,3,Jaipur,17591000.0
35,167300,46700.0,1596765,104700.0,401574,3,Mumbai,20233000.0
16,142400,27000.0,120251,94100.0,212410,4,Delhi,5046000.0
13,34300,6100.0,189495,21900.0,99099,4,Jaipur,1094000.0
30,23500,3500.0,385546,16000.0,330763,0,Jaipur,1583000.0
19,188200,49500.0,1001418,94800.0,369048,0,Chennai,11725000.0
17,100200,29400.0,1013547,59200.0,34923,0,Delhi,6712000.0
19,142700,19800.0,362373,75200.0,476200,2,Delhi,4652000.0
28,107800,20700.0,1219245,64700.0,286326,0,Lucknow,7828000.0
26,40800,10400.0,1088749,27800.0,444249,3,Lucknow,4172000.0
26,192400,43700.0,283472,111600.0,116799,4,Chennai,13238000.0
23,197300,51900.0,1382679,103100.0,200482,4,Chennai,14993000.0
9,132700,13700.0,1010278,72300.0,350567,1,Mumbai,2416000.0
12,71100,20100.0,1755380,42700.0,334559,4,Lucknow,4505000.0
1,101100,11400.0,1989404,63700.0,419521,5,Bangalore,2119000.0
1,36100,6800.0,1247335,18100.0,133806,5,Mumbai,1325000.0
34,193100,30000.0,86053,111500.0,81884,1,Mumbai,11716000.0
32,176100,50300.0,215888,110800.0,461461,2,Hyderabad,18568000.0
25,36200,5600.0,803923,22800.0,74570,2,Hyderabad,2400000.0
1,130200,22700.0,1831868,81000.0,169314,5,Delhi,2091000.0
16,88200,24500.0,101155,44400.0,378656,4,Hyderabad,4571000.0
5,46100,9600.0,1818592,30700.0,485406,1,Lucknow,2366000.0
22,125100,35000.0,756761,81300.0,8185,1,Ahmedabad,9536000.0
29,85200,19800.0,1745216,46700.0,120969,5,Delhi,8292000.0
3,199100,23100.0,1965637,117700.0,472113,2,Delhi,2756000.0
12,52100,9700.0,1250464,35800.0,442050,3,Lucknow,2578000.0
26,66300,9000.0,745415,41200.0,116844,2,Mumbai,3413000.0
16,75200,8500.0,907002,48800.0,336422,5,Jaipur,2458000.0
22,152400,26600.0,989217,98400.0,23568,0,Chennai,7661000.0
29,109900,31000.0,406706,67200.0,185712,1,Chennai,10657000.0
14,61800,7600.0,1912770,37300.0,296423,4,Hyderabad,3126000.0
28,80500,8200.0,1191907,55200.0,389377,4,Delhi,3810000.0
5,35500,10200.0,863644,21300.0,48809,5,Lucknow,1445000.0
30,196600,40500.0,326167,103500.0,300706,1,Kolkata,14179000.0
5,39900,8400.0,1447500,24900.0,107289,5,Delhi,1926000.0
12,132100,37700.0,1937074,75400.0,474441,2,Lucknow,7095000.0
16,37700,9000.0,423024,19200.0,251466,2,Bangalore,2065000.0
26,99200,26300.0,1894475,56500.0,260272,5,Jaipur,9691000.0
26,128700,32700.0,262050,89200.0,164283,1,Lucknow,9956000.0
21,141000,31400.0,1607099,90700.0,66168,5,Delhi,9125000.0
33,175300,41700.0,1275528,103500.0,420564,0,Mumbai,16965000.0
30,169100,35900.0,1469064,114700.0,134369,5,Chennai,13749000.0
23,58100,9900.0,533352,33900.0,222066,4,Lucknow,3130000.0
10,150400,23600.0,1084803,96800.0,248603,1,Jaipur,3776000.0
5,196700,26600.0,54793,135300.0,373751,4,Ahmedabad,1571000.0
34,110400,18900.0,1167624,56000.0,22445,3,Chennai,8494000.0
31,94800,20400.0,1768593,63900.0,222349,5,Jaipur,8979000.0
10,158400,34500.0,1501333,88400.0,455661,2,Pune,5435000.0
19,93400,22100.0,862834,56200.0,55144,5,Ahmedabad,5650000.0
32,191200,52700.0,1697553,119000.0,303662,1,Bangalore,20925000.0
1,134700,31000.0,1708951,78200.0,254173,0,Bangalore,2062000.0
5,88000,11800.0,1719895,52000.0,56284,2,Chennai,2393000.0
4,142000,14900.0,763699,79100.0,372130,1,Delhi,1443000.0
16,165700,23100.0,622134,109000.0,296715,1,Mumbai,4836000.0
24,74800,21100.0,288269,40400.0,192250,0,Jaipur,6062000.0
16,101500,21700.0,1040569,62100.0,342102,5,Lucknow,4999000.0
2,18400,5000.0,1861318,10800.0,209986,5,Hyderabad,1975000.0
28,86300,12700.0,816307,53200.0,325191,3,Bangalore,4871000.0
32,187700,45400.0,1676068,114500.0,244910,0,Kolkata,18240000.0
27,20200,5000.0,250536,11600.0,304724,5,Mumbai,1790000.0
20,139400,36500.0,1830449,86000.0,363704,2,Mumbai,10154000.0
24,44300,9200.0,874798,25000.0,451993,2,Delhi,3392000.0
12,136700,35400.0,512911,77700.0,230449,5,Hyderabad,5356000.0
35,24500,7000.0,140909,14700.0,137524,3,Ahmedabad,2934000.0
33,172400,50300.0,111306,100900.0,328135,1,Mumbai,19037000.0
33,167300,20900.0,1540897,110800.0,356445,0,Kolkata,9405000.0
12,182700,41100.0,1190636,116700.0,425122,3,Ahmedabad,6814000.0
3,140000,17200.0,459517,72300.0,315413,3,Lucknow,1048000.0
1,193900,55200.0,1910530,98000.0,177188,0,Kolkata,2540000.0
33,183200,53300.0,1844133,109000.0,118,0,Mumbai,21899000.0
10,62100,12400.0,1614708,35900.0,225672,3,Bangalore,3029000.0
29,98700,28800.0,1196642,52600.0,318444,4,Pune,10719000.0
13,195900,49600.0,1886367,105700.0,400551,1,Pune,9238000.0
12,138600,33200.0,1261011,71700.0,465096,5,Bangalore,5803000.0
31,18900,4100.0,316037,9500.0,435608,5,Chennai,1765000.0
2,50000,9100.0,807157,31200.0,65275,3,Mumbai,1015000.0
